ap,question,choice_a,choice_b,choice_c,choice_d,correct_answer,explanation,created_by
AP Calculus AB,Derivative of x^2?,x,2x,x^2,2,B,Power rule: d/dx x^2 = 2x,John Doe
AP Calculus AB,Integral of 1 dx?,x,1,0,undefined,A,Integral of 1 is x,Jane Doe
AP Calculus AB,Derivative of sin(x)?,cos(x),-cos(x),sin(x),-sin(x),A,Standard derivative rule,John Doe
AP Calculus AB,What does a derivative represent?,Slope,Area,Volume,Distance,A,Derivative represents slope of a function,Jane Doe
AP Calculus AB,Limit of 1/x as x→∞?,0,∞,1,undefined,A,Function approaches 0,John Doe

AP Calculus BC,Integral of e^x?,e^x,0,1,x,A,Derivative and integral of e^x is itself,Jane Doe
AP Calculus BC,Derivative of tan(x)?,sec^2(x),cos(x),-sin(x),sec(x),A,Standard trig derivative,John Doe
AP Calculus BC,Maclaurin series center?,0,1,-1,∞,A,Maclaurin series is centered at 0,Jane Doe
AP Calculus BC,Integral of 1/x?,ln|x|,x,1/x,0,A,Logarithmic integral rule,John Doe
AP Calculus BC,What does convergence mean?,Finite limit,Infinite growth,Oscillation,Random behavior,A,Series approaches a finite value,Jane Doe

AP Statistics,Mean measures?,Center,Spread,Probability,Time,A,Mean describes center of data,John Doe
AP Statistics,Standard deviation measures?,Spread,Center,Median,Mode,A,Measures variability,Jane Doe
AP Statistics,Probability range?,0-1,1-10,-1-1,0-100,A,Probability is between 0 and 1,John Doe
AP Statistics,Median is?,Middle value,Average,Sum,Mode,A,Middle of sorted data,Jane Doe
AP Statistics,Correlation measures?,Relationship,Mean,Spread,Count,A,Measures association,John Doe

AP Computer Science A,Array is?,Collection,Single variable,Loop,Class,A,Stores multiple values,Jane Doe
AP Computer Science A,Class is?,Blueprint,Object,Loop,Variable,A,Blueprint for objects,John Doe
AP Computer Science A,Loop is?,Repetition,Decision,Function,Class,A,Repeats code,Jane Doe
AP Computer Science A,Object is?,Instance,Class,Method,Loop,A,Instance of a class,John Doe
AP Computer Science A,Boolean is?,True/false,Integer,String,Double,A,Logical value type,Jane Doe

AP Computer Science Principles,Algorithm is?,Steps,Bug,Variable,Hardware,A,Step-by-step instructions,John Doe
AP Computer Science Principles,Binary uses?,0 and 1,Letters,Words,Symbols,A,Base-2 system,Jane Doe
AP Computer Science Principles,Internet is?,Network,Computer,Software,Code,A,Global network,John Doe
AP Computer Science Principles,Cloud computing is?,Remote servers,Local PC,CPU,RAM,A,Uses remote servers,Jane Doe
AP Computer Science Principles,Abstraction means?,Simplifying,Adding detail,Encrypting,Deleting,A,Removes unnecessary detail,John Doe

AP Biology,What produces ATP?,Mitochondria,Nucleus,Ribosome,Golgi apparatus,A,Cellular respiration occurs in mitochondria,Jane Doe
AP Biology,What stores genetic information?,Protein,Lipid,DNA,Carbohydrate,C,DNA stores heredity,John Doe
AP Biology,Photosynthesis occurs in?,Chloroplast,Mitochondria,Nucleus,Cytoplasm,A,Chloroplast converts light energy,Jane Doe
AP Biology,Ribosomes function?,Protein synthesis,ATP storage,DNA storage,Transport,A,Build proteins,John Doe
AP Biology,Cell membrane role?,Controls entry,Stores DNA,Produces ATP,Makes proteins,A,Regulates cell transport,Jane Doe

AP Chemistry,Atomic number is?,Protons,Neutrons,Electrons,Mass,A,Protons define element,John Doe
AP Chemistry,pH measures?,Acidity,Temperature,Pressure,Mass,A,Hydrogen ion concentration,Jane Doe
AP Chemistry,Covalent bond shares?,Electrons,Protons,Neutrons,Ions,A,Electron sharing,John Doe
AP Chemistry,Exothermic reaction?,Releases heat,Absorbs heat,No change,Stops,A,Releases energy,Jane Doe
AP Chemistry,Oxidation is?,Loss of electrons,Gain of electrons,Neutralization,Reaction,A,OIL RIG rule,John Doe

AP Physics 1,Force equals?,ma,mv,m/a,mg,A,Newton’s 2nd law,Jane Doe
AP Physics 1,Velocity is?,Speed with direction,Force,Energy,Mass,A,Vector quantity,John Doe
AP Physics 1,Acceleration is?,Change in velocity,Position,Mass,Force,A,Rate of velocity change,Jane Doe
AP Physics 1,Energy unit?,Joule,Newton,Watt,Pascal,A,SI unit of energy,John Doe
AP Physics 1,Gravity on Earth?,9.8 m/s²,10 m/s²,8 m/s²,12 m/s²,A,Standard value,Jane Doe

AP Physics 2,Pressure formula?,F/A,mv,ma,E,A,Force per unit area,John Doe
